2026-05-28T15:04:35.606593Z	info	FLAG: --concurrency="0"
2026-05-28T15:04:35.606607Z	info	FLAG: --domain="transit.svc.cluster.local"
2026-05-28T15:04:35.606609Z	info	FLAG: --help="false"
2026-05-28T15:04:35.606610Z	info	FLAG: --log_as_json="false"
2026-05-28T15:04:35.606611Z	info	FLAG: --log_caller=""
2026-05-30T09:56:50.263337Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=72
2026-05-30T10:29:23.455822Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=73
2026-05-30T10:49:21.058531Z	info	cache	generated new workload certificate	resourceName=default latency=35.208083ms ttl=23h59m59.941471198s
2026-05-30T10:58:49.810993Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=74
2026-05-30T11:26:49.669699Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=75
2026-05-30T11:56:00.807596Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=76
2026-05-30T13:48:35.447746Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=77
2026-05-30T16:40:56.713353Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=78
2026-05-30T18:44:35.685344Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=79
2026-05-30T20:44:23.782299Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=80
2026-05-30T22:29:56.498458Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=81
2026-05-31T00:43:29.412112Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=82
2026-05-31T02:37:36.210368Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=83
2026-05-31T04:36:48.245013Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=84
2026-05-31T05:40:46.499704Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=85
2026-05-31T06:27:14.656118Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=86
2026-05-31T07:16:02.300324Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=87
2026-05-31T07:43:24.514378Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=88
2026-05-31T08:54:20.620802Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=89
2026-05-31T09:56:16.477778Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=90
2026-05-31T10:59:13.309560Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=91
2026-05-31T12:17:41.621316Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=92
2026-05-31T13:17:55.180406Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=93
2026-05-31T14:01:48.235000Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=94
