2026-05-28T15:04:35.677144Z	info	FLAG: --concurrency="0"
2026-05-28T15:04:35.677193Z	info	FLAG: --domain="echo-tr.svc.cluster.local"
2026-05-28T15:04:35.677196Z	info	FLAG: --help="false"
2026-05-28T15:04:35.677197Z	info	FLAG: --log_as_json="false"
2026-05-28T15:04:35.677197Z	info	FLAG: --log_caller=""
2026-05-31T04:03:57.498306Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=84
2026-05-31T05:31:56.567327Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=85
2026-05-31T06:19:32.181088Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=86
2026-05-31T06:49:15.380719Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=87
2026-05-31T07:34:10.612791Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=88
2026-05-31T08:31:27.798942Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=89
2026-05-31T09:52:06.101129Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=90
2026-05-31T10:51:36.234371Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=91
2026-05-31T12:04:40.949303Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=92
2026-05-31T13:03:58.492879Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=93
2026-05-31T13:34:41.448791Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=94
2026-05-31T14:22:04.112354Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=95
2026-05-31T15:10:38.952377Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=96
2026-05-31T15:31:32.039786Z	info	cache	generated new workload certificate	resourceName=default latency=650.569625ms ttl=23h59m59.960222581s
2026-05-31T16:25:48.235657Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=97
2026-05-31T18:23:38.210428Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=98
2026-05-31T19:44:20.970883Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=99
2026-05-31T21:16:20.061783Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=100
2026-05-31T23:04:53.981994Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=101
2026-06-01T01:26:04.062836Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=102
2026-06-01T03:13:48.321443Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=103
2026-06-01T05:02:49.983883Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=104
2026-06-01T05:32:28.228004Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=105
2026-06-01T06:10:33.230738Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=106
2026-06-01T06:42:50.850747Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=107
2026-06-01T07:14:18.263867Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=108
2026-06-01T07:44:04.514637Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=109
2026-06-01T08:15:56.051415Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=110
2026-06-01T08:44:03.746997Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=111
2026-06-01T09:14:37.992748Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=112
2026-06-01T09:43:19.472006Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=113
2026-06-01T10:12:49.069028Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=114
2026-06-01T10:41:18.131033Z	info	xdsproxy	connected to delta upstream XDS server: istiod-stable.istio-system.svc:15012	id=115
